"typ","baseline_mean_all","baseline_mean_all_stand","lockdown_mean_all","lockdown_mean_all_stand","reduction_all","reduction_all_stand","baseline_mean_work","lockdown_mean_work","reduction_work","baseline_mean_WE","lockdown_mean_WE","reduction_WE"
"Gesamtverbrauch",168646.078806759,169347.050057603,138197.805579109,137634.977614836,0.819454603136437,0.812739150566956,177478.3165674,144107.499203971,0.811972425652593,149018.883783111,121453.673642,0.815022033172448
"Gesamtverbrauch_inkl_pump",187650.754796989,188250.177892359,160040.15350388,159771.235666601,0.852861762677269,0.848717581334546,195203.485798648,162863.790795314,0.83432829146969,170866.908126636,152039.847844818,0.889814473216402
"pumpenergie",19004.6759902308,18903.127834756,21842.3479247717,22136.2580517648,1.14931440746475,1.17103678530197,17725.1692312483,18756.2915913435,1.05817277943262,21848.0243435251,30586.1742028182,1.399951488606
"Verbrauch_AG",14447.5230530345,14507.9951029365,12521.9434415217,12470.2594312997,0.866719049040845,0.85954395096092,15209.4708818,13064.6255488529,0.858979621998972,12754.3056557778,10984.3441374167,0.861226352407565
"Verbrauch_AI_AR",1627.42213546207,1636.19850725,1347.23722045652,1340.18414562493,0.827835133306703,0.819084077932213,1738.00441999,1421.29450618824,0.817773815670971,1381.6837254,1137.40824421667,0.823204488340763
"Verbrauch_Ausland",696.319887344828,702.971099369048,693.287435434783,688.484077467787,0.995645030444832,0.97939172476043,780.12515885,743.722694088235,0.953337660824288,510.085950666667,550.387535916667,1.07900940066537
"Verbrauch_BE_JU",23412.329746,23495.9338719921,20778.7964677826,20722.1139014846,0.887515112473276,0.881944680912898,24465.7417335,21373.9634139118,0.873628261375996,21071.4142182222,19092.4901204167,0.906084894098175
"Verbrauch_BL_BS",9851.73187065517,9893.56231698016,8560.37242276087,8528.90132918628,0.868920564947488,0.862065761141289,10378.79549435,8890.81890529412,0.856633017784587,8680.47937355556,7624.10738891667,0.878304879352971
"Verbrauch_FR",7762.34931958621,7797.17360247222,6484.33353023913,6458.33243892857,0.835357088849075,0.828291476911692,8201.13528395,6757.344989,0.82395238647318,6787.26939877778,5710.80106375,0.841398908488644
"Verbrauch_GE_VD",22791.1963454483,22837.093413381,18994.7179336739,19004.6819435476,0.833423469561194,0.832184796880158,23369.4994014,18890.09583,0.808322656191272,21506.0784433333,19291.1472274167,0.897009060868404
"Verbrauch_GL",1947.79280762069,1945.23166713492,2716.67129180435,2731.27575862605,1.3947434661302,1.40408764918416,1915.5224375,2563.32439017647,1.33818552056322,2019.50474122222,3151.15417975,1.56035988201884
"Verbrauch_GR",7713.00214775862,7721.84276356349,5927.78228354348,5932.34873015546,0.768544098651143,0.768255572121724,7824.3939069,5879.83459411765,0.75147476776859,7465.46490522222,6063.63407025,0.812224576396894
"Verbrauch_Kantonsübergreifend",5241.53962370528,5248.04681920225,3711.89774543283,3697.74175287428,0.708169357080785,0.704593895645993,5323.5302869672,3860.53566729759,0.725183376292375,5059.33814978989,3290.756966816,0.650432303472869
"Verbrauch_LU",10499.764034931,10533.8500113571,8903.71420813044,8863.6033197395,0.847991838531723,0.841440053748927,10929.2473379,9324.87853623529,0.853204090632926,9545.356695,7710.4152785,0.807766071490951
"Verbrauch_NE",1814.56199731034,1825.80263521825,1442.45495404348,1435.8000347507,0.794932857726313,0.786393888942474,1956.19403495,1512.33160661765,0.773098976685256,1499.82413588889,1244.47110508333,0.829744684929865
"Verbrauch_OW_NW_UR",2693.0236177931,2703.20357469048,2108.10569871739,2098.06630821989,0.782802529019391,0.776140697601779,2821.2910747,2213.51929894118,0.784576720491894,2407.98482466667,1809.43383141667,0.751430745277701
"Verbrauch_SG",10751.0881251586,10807.1500770595,9219.20674330435,9195.65786302633,0.857513828924022,0.850886477698322,11457.46871911,9466.46998622353,0.82622699815312,9181.35347193333,8518.62755503333,0.927818276583523
"Verbrauch_SH_ZH",27136.9501446552,27248.4528234246,23210.3442401304,23125.5998449244,0.85530408230867,0.848694052274559,28541.88389715,24100.1603897941,0.844378754977719,24014.8751391111,20689.19848275,0.861515971367894
"Verbrauch_SO",6099.78946065517,6122.31627937302,5297.905611,5279.57965063585,0.868539093877341,0.862350033830094,6383.6273765,5490.32819482353,0.86006401548985,5469.03853655556,4752.70829016667,0.869020808392394
"Verbrauch_SZ_ZG",5159.01222375862,5181.92804442857,4250.29235656522,4231.41770616807,0.823857779788056,0.816572069293309,5447.7515642,4448.47618573529,0.816571044643177,4517.369245,3688.77150725,0.816575158502457
"Verbrauch_TG",5289.65539313793,5319.18319370238,4521.78064426087,4498.15250026331,0.85483463632183,0.845647223729551,5661.70568025,4769.87615623529,0.842480415906161,4462.87697733333,3818.84336033333,0.855690932044283
"Verbrauch_TI",9128.99418131035,9152.43773397222,6976.55716715217,6972.54389770728,0.764219696999608,0.76182369117098,9424.38294485,7018.69649632353,0.744738041460734,8472.57470677778,6857.16240116667,0.809336316111933
"Verbrauch_VS",10071.6195262151,10088.5270666251,7066.24933973015,7049.66669583453,0.701600107245673,0.698780570174237,10284.6545353811,7240.36710063415,0.703997112953669,9598.20839473522,6572.9156838355,0.68480651945845
